titel;auteur;Plaatsing;Plaatsing omschrijving;Pl.Opmerking;Zizo Jeugd;Prijs;Jaargang;Genre Jeugd;Hoofdwoord;isbn;Exem-id;Magazijn;Materiaal;Min. leeftijd;Status;Bijlage;Categorie
Afval;Arnoldussen, Lucas;JIH;Jeugd info: natuur;;NAMIL;16.95;;;;3,00E+13;14436585;N;B5;0;B;;5
Afval;Boonen, Stefan;JFC;Jeugd fictie 12-14 jaar blauw;BOON;;0.00;;;;NA0844497;2841373;N;B4;0;A;;4
Afval en recycling;Inskipp, Carol;JIH;Jeugd info: natuur;12+ - blauw;NAMIL;0.00;;;;NA0605824;3310799;N;B5;0;B;;5
Afval, recycling en hergebruik;Morgan, Sally;JIH;Jeugd info: natuur;9+ - rood;NAMIL;0.00;;;;NA0947334;3445823;N;B5;0;B;;5
Afzettingsgesteenten;Fretland VanVoorst, Jenny;JII;Jeugd info: aarde - heelal;;AAGES;16.00;;;;3,00E+13;21648894;N;B5;0;B;;5
Afzettingsgesteenten;Fretland VanVoorst, Jenny;JII;Jeugd info: aarde - heelal;;AAGES;16.00;;;;3,00E+13;21584914;N;B5;0;B;;5
Age 14;Spillebeen, Geert;YF0;Jongeren fictie grijs;SPIL;;0.00;    ;;;NA0331783;6612834;N;BA;0;A;;4
Agent door weer en wind;Cauvin, Raoul;SJB;Strips jeugd 9-11 jaar;Agent 212;;6.50;    ;;;3,00E+13;12992068;N;S4;0;B;;4
Agent in zakformaat;Cauvin, Raoul;SJB;Strips jeugd 9-11 jaar;Agent 212;;4.20;    ;;;NA0553220;4015280;N;S4;0;A;;4
Agent nul nul wortel in actie;Hoch, Jana;JFB;Jeugd fictie 9-11 jaar rood;;;15.99;;;HOCH;3,00E+13;29939836;N;B4;0;B;;4
Agent Vertongen;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;FC De Kampioenen;;5.95;    ;;;NA0927325;5447159;N;S4;0;U;;4
Agent Vertongen;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;FC De Kampioenen;;5.95;    ;;;NA0927333;5447160;N;S4;0;U;;4
Ahoy! : gedichten over wilde dromen, klein geluk en groot gevoel;De Pelseneer, Reine;JP0;Jeugd poëzie;PELS;;17.50;;;;PI0781142;5808609;N;B5;0;B;;4
AI;Dickmann, Nancy;JIF;Jeugd info: wetenschappen;;WTCOM;17.95;;;DICK;#250717032009824;32009824;N;B5;0;I;;5
Ai ai Eye;Midam;SJB;Strips jeugd 9-11 jaar;Game Over;;6.95;    ;;;NA1048147;6033343;N;S4;0;U;;4
Ai ai Eye;Midam;SJB;Strips jeugd 9-11 jaar;Game Over;;6.95;    ;;;NA1048155;6033344;N;S4;0;U;;4
Aicha en de verloren taal;El Azzouzi, Fikry;JFB;Jeugd fictie 9-11 jaar;;;16.99;;;AZZO;3,00E+13;24407968;N;B4;0;B;;4
Aidswees : Mary's verhaal;Howard, Helen;JIM;Jeugd info: mens;;MEZIE;14.95;    ;;;NA0939811;3522718;N;B5;0;B;;5
Aidswees : Mary's verhaal;Howard, Helen;JIM;Jeugd info: mens;;MEZIE;7.95;;;;PI0539686;3522720;N;B5;0;B;;5
Aïlo, het dappere rendier;Maidatchevsky, Guillaume;FSJ;Speelfilms jeugd;;;17.50;    ;;AILO;3,00E+13;14720363;N;D4;6;U;;4
Aïlo, het dappere rendier;Maidatchevsky, Guillaume;FSJ;Speelfilms jeugd;;;6.11;;;AILO;3,00E+13;12392982;N;D4;6;B;;4
Aïna;Dodier;SJC;Strips jeugd 12-14 jaar;Jerome K. Bloks;;7.95;    ;;;NA1038974;5659086;N;S4;0;B;;4
Ainbo : heldin van de Amazone;Claus, Richard;FSJ;Speelfilms jeugd;;;24.26;    ;;AINB;3,00E+13;28978282;N;D4;6;U;;4
Air race pilot;Buendia, Patrice;SJB;Strips jeugd 9-11 jaar;Buck Danny origins;;9.99;    ;;;3,00E+13;31032922;N;S4;0;B;;4
Air time;Van Velzen, Marc;JFB;Jeugd fictie 9-11 jaar;VELZ;;13.95;;;;PI0504432;3829463;N;B4;0;U;;4
Airman;Colfer, Eoin;YF0;Jongeren fictie grijs;COLF;;17.95;;;;NA0679445;3813324;N;BA;0;B;;4
Airport : city of planes;;FSJ;Speelfilms jeugd;AIRP;;15.50;;;;NA0932256;5155034;N;D4;0;A;;2
Akelige Arnold;Van der Meijden, Joyce;JFB;Jeugd fictie 9-11 jaar rood;;;13.95;;;VAND;3,00E+13;29145817;N;B4;0;B;;4
Al die mooie vreemden;Klehfoth, Elizabeth;YF0;Jongeren fictie grijs;KLEH;;17.99;;;;NA1174657;6357861;N;BA;0;B;;4
Al die tijd;Lippincott, Rachael;YF0;Adolescenten;;;17.50;;;LIPP;3,00E+13;14746867;N;BA;0;B;;4
Al die tijd;Lippincott, Rachael;YF0;Jongeren fictie grijs;;;17.50;;;LIPP;3,00E+13;14755524;N;B4;0;B;;4
Al het moois is niet verloren;Younge-Ullman, Danielle;YF0;Adolescenten;YOUN;;18.99;;;;PI0797855;5927778;N;BA;0;A;;4
Al het moois is niet verloren;Younge-Ullman, Danielle;YF0;Jongeren fictie grijs;YOUN;;18.99;;;;NA1092162;5927775;N;BA;0;U;;4
Al is de leugen nog zo snel ...;Shepard, Sara;YF0;Adolescenten;SHEP;;12.95;;;;PI058424X;4383248;N;BA;0;U;;4
Aladdin;Disney, Walt;SJA;Strips jeugd 6-8 jaar;Disney;;4.80;    ;;;3,00E+13;29152919;N;S4;0;B;;4
Aladdin;Musker, John;FSJ;Speelfilms jeugd;;;19.90;;;ALAD;3,00E+13;17836278;N;D4;0;B;;4
Aladdin;Musker, John;FSJ;Speelfilms jeugd;ALAD;;17.99;;;;NA0889725;5885678;N;D4;0;U;;2
Aladdin;Ritchie, Guy;FSJ;Speelfilms jeugd;;;16.56;    ;;ALAD;3,00E+13;7596808;N;D4;9;B;;4
Aladdin;Ritchie, Guy;FSJ;Speelfilms jeugd;;;27.99;    ;;ALAD;3,00E+13;6842964;N;D4;9;B;;4
Aladdin;Weiss, Bobbi J.G.;SJA;Strips jeugd 6-8 jaar;Disney;;0.00;    ;;;NA0151084;3014505;N;S4;0;B;;4
Aladdin : de wraak van Jafar;Disney, Walt;SJA;Strips jeugd 6-8 jaar;Disney;;4.51;    ;;;NA091164X;2774640;N;S4;0;B;;4
Aladdin en de dievenkoning;Disney, Walt;SJA;Strips jeugd 6-8 jaar;Disney;;2.95;    ;;;NA0451010;2772686;N;S4;0;U;;4
Alarm in de rode baai;Nys, Jef;SJA;Strips jeugd 6-8 jaar;Jommeke;;2.20;    ;;;NA0439754;3307140;N;S4;0;B;;4
Alarm in het begijnhof;Nys, Jef;SJA;Strips jeugd 6-8 jaar;Jommeke;;3.75;    ;;;NA0744123;2773132;N;S4;0;B;;4
Alarm in het begijnhof;Nys, Jef;SJA;Strips jeugd 6-8 jaar;Jommeke;;5.50;    ;;;NA097238X;2773133;N;S4;0;B;;4
Alarm op Spitsbergen;Ollivier, Reina;JFB;Jeugd fictie 9-11 jaar;DANS;;14.95;;;;PI0753041;5641876;N;B4;0;B;;4
Alarm!;Carman, Patrick;JFB;Jeugd fictie 9-11 jaar;CARM;;14.95;;;;PI0597988;4617708;N;B4;0;B;;4
Alarm! Zwendeltuig!;Vehlmann, Fabien;SJB;Strips jeugd 9-11 jaar;Robbedoes en Kwabbernoot;;5.95;;;;NA0731307;4111207;N;S4;0;B;;4
Alaska;Woltz, Anna;JFB;Jeugd fictie 9-11 jaar;WOLT;;14.99;;;;PI0748668;5755782;N;B4;0;B;;4
Alaska;Woltz, Anna;JFB;Jeugd fictie 9-11 jaar rood;WOLT;;14.99;;;;NA1140078;5755776;N;B4;0;B;;4
Albert & Co;Cambré, Charel;SJB;Strips jeugd 9-11 jaar;Albert en Co;;6.95;    ;;;NA0666963;3928517;N;S4;0;B;;4
Albert Einstein;Acín, Eduardo;JIF;Jeugd info: wetenschappen;;WTNAT;12.95;;;;PI0835714;6093293;N;B5;0;B;;5
Albert Einstein;Sánchez Vegara, María Isabel;JIE;Jeugd info: weetjes;6+ - geel;WEBER;15.99;;;;3,00E+13;27978202;N;B5;0;B;;5
Album 26;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;6.95;    ;;;3,00E+13;14629474;N;S4;0;U;;4
Album 26;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;6.99;    ;;;3000300206;14615673;N;S4;0;A;;4
Album 26;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;6.99;    ;;;3,00E+13;14615666;N;S4;0;U;;4
Alcohol;Amos, Janine;JIM;Jeugd info: mens;;MEVER;0.00;;;;NA0939765;3272278;N;B5;0;B;;5
Alcohol;Royston, Angela;JIM;Jeugd info: mens;;MEVER;0.00;;;;PI0258083;2845625;N;B5;0;B;;5
Alda;Hermann;SJC;Strips jeugd 12-14 jaar;Schemerwoude (De torens van);;0.00;    ;;;NA0055379;3208610;N;S4;0;B;;4
Aldo Remy in opstand;Tibet;SJB;Strips jeugd 9-11 jaar;Aldo Remy;;6.50;    ;;;NA0592943;3300659;N;S4;0;B;;4
Alesia;Wyllow;JIK;Jeugd info: geschiedenis;;GEOUD;8.50;    ;;;NA0915831;5307194;N;S4;0;U;;4
Alex de onversaagde;Martin, Jacques;SJB;Strips jeugd 9-11 jaar;Alex;;5.75;    ;;;3,00E+13;26886000;N;S4;0;U;;4
Alex M. en de boeken van de nacht;White, Jerry Alan;JFB;Jeugd fictie 9-11 jaar;;;16.99;;;WHIT;3,00E+13;13175816;N;B4;0;B;;4
Alex M. en de boeken van de nacht;White, Jerry Alan;JFB;Jeugd fictie 9-11 jaar rood;;;16.99;;;WHIT;3,00E+13;13023977;N;B4;0;B;;4
Alex, de jongen die koning zou worden;Cornish, Joe;FSJ;Speelfilms jeugd;;;20.71;    ;;ALEX;3,00E+13;7394314;N;D4;9;B;;4
Alexander de Grote;Maingoval, François;SJC;Strips jeugd 12-14 jaar;Historische personages;;5.95;;;;NA0652253;3606967;N;S4;0;B;;4
Alexander de Grote;Martin, Jacques;JIK;Jeugd info: geschiedenis;;GEOUD;6.50;    ;;;NA0688606;4029301;N;B5;0;U;;4
Alexander Von Humboldt;Nys, Peter;JIK;Jeugd info: geschiedenis;;GEONT;15.95;;;;3,00E+13;17640213;N;B5;0;B;;5
Alfabet;Lexeman;JFB;Jeugd fictie 9-11 jaar;LEXE;;14.95;;;;PI0682853;5290304;N;B4;0;B;;4
Alfabet;Lexeman;JFB;Jeugd fictie 9-11 jaar rood;LEXE;;14.95;;;;NA0857920;5290301;N;B4;0;B;;4
Alias Rik Ringers;Duchateau, André-Paul;SJB;Strips jeugd 9-11 jaar;Rik Ringers;;0.00;;;;NA0471070;3856101;N;S4;0;B;;4
Alibaberg;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;5.99;    ;;;NA1043072;5689463;N;S4;0;U;;4
Alibaberg;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;5.99;    ;;;NA1043080;5689464;N;S4;0;B;;4
Alice : the darker side of the mirror;Hamer, Zach;FSJ;Speelfilms jeugd;ALIC;;12.41;;;;NA1044435;5678687;N;D4;12;B;;2
Alice in Spiegelland;Carroll, Lewis;JFB;Jeugd fictie 9-11 jaar;CARR;;0.00;;;;PI0430129;3303910;N;B4;0;B;;4
Alice in wetenschaps wonderland : een avontuur over atomen, sling;Frabetti, Carlo;JIF;Jeugd info: wetenschappen;;WTNAT;16.99;;;;3,00E+13;12134992;N;B5;0;B;;5
Alice in wetenschaps wonderland : een avontuur over atomen, sling;Frabetti, Carlo;JIF;Jeugd info: wetenschappen;9+ - rood;WTNAT;16.99;;;;3,00E+13;7752704;N;B5;0;B;;5
Alice in wiskunde wonderland : een avontuur langs priemgetallen, ;Frabetti, Carlo;JIF;Jeugd info: wetenschappen;;WTWIS;18.99;;;;NA1172328;6092303;N;B5;0;U;;5
Alice in wiskunde wonderland : een avontuur langs priemgetallen, ;Frabetti, Carlo;JIF;Jeugd info: wetenschappen;;WTWIS;18.99;;;;PI0843695;6092306;N;B5;0;U;;5
Alice in Wonderland;Burton, Tim;FSJ;Speelfilms jeugd;ALIC;;15.50;;;;NA1149636;4054962;N;D4;9;M;;2
Alice in Wonderland;Burton, Tim;FSJ;Speelfilms jeugd;ALIC;;19.50;;;;NA0720682;4054961;N;D4;9;M;;2
Alice in Wonderland;Disney, Walt;SJA;Strips jeugd 6-8 jaar;Disney;;3.97;    ;;DISN;3,00E+13;29329410;N;S4;0;B;;4
Alice in Wonderland;Docampo, Valeria;JFB;Jeugd fictie 9-11 jaar rood;;;29.95;;;DOCA;3,00E+13;14609127;N;B4;0;B;;4
Alice in wonderland;Franck, Ed;JFB;Jeugd fictie 9-11 jaar;CARR;;29.95;;;;PI0594911;4391836;N;B4;0;B;;4
Alice in wonderland;Franck, Ed;JFB;Jeugd fictie 9-11 jaar rood;FRAN;;29.95;;;;NA0773670;4391833;N;B4;0;A;;4
Alice in Wonderland;Geronimi, Clyde;FSJ;Speelfilms jeugd;ALIC;;0.00;;;;NA1096028;3062039;N;D4;0;B;;2
Alice in Wonderland;Geronimi, Clyde;FSJ;Speelfilms jeugd;ALIC;;17.95;;;;NA1038524;4267135;N;D4;0;U;;2
Alice in Wonderland;Geronimi, Clyde;FSJ;Speelfilms jeugd;ALIC;;22.95;;;;PI0647985;4267139;N;D4;0;B;;4
Alice in Wonderland;Stilton, Geronimo;JFA;Jeugd fictie 7-8 jaar geel;STIL;;0.00;;;;NA1157604;4385772;N;B4;0;B;;4
"Alice in Wonderland & Alice in Spiegelland : Lewis Carroll ; opni";Ross, Tony;JFB;Jeugd fictie 9-11 jaar rood;CARR;;24.95;;;;NA1143263;5728510;N;B4;0;A;;4
Alice in Zombieland;Showalter, Gena;YF0;Jongeren fictie grijs;SHOW;;0.00;;;;NA0859621;5279201;N;BA;0;A;;4
Alien;De Bel, Marc;JFB;Jeugd fictie 9-11 jaar;BEL;;0.00;;;;PI0451789;4151196;N;B4;0;B;;4
Alien;De Bel, Marc;JFB;Jeugd fictie 9-11 jaar rood;DEBE;;13.50;;;;NA0615080;4151192;N;B4;0;B;;4
Alien in de spits;Van der Eem, Annemarie;JFA;Jeugd fictie 7-8 jaar geel;;;15.99;;;VAND;3,00E+13;30262919;N;B4;0;U;;4
Alinoë;Van Hamme, Jean;SJC;Strips jeugd 12-14 jaar;Thorgal;;0.00;    ;;;NA0040614;5165479;N;S4;0;B;;4
Alle ballen op Joerie!;Kuyper, Hans;JM0;Jeugd makkelijk lezen;KUYP;;11.24;    ;;;PI0428698;3268775;N;B4;0;B;;4
Alle beetjes helpen (meestal dan);Pichon, Liz;JFB;Jeugd fictie 9-11 jaar;;;15.99;;;PICH;3,00E+13;28421844;N;B4;0;B;;4
Alle beetjes helpen (meestal dan);Pichon, Liz;JFB;Jeugd fictie 9-11 jaar rood;;;15.99;;;PICH;3,00E+13;28504017;N;B4;0;U;;4
Alle beroemde schrijvers drinken (behalve ik!);Vernelen, Aag;JFB;Jeugd fictie 9-11 jaar;VERN;;14.95;;;;PI0677000;5125821;N;B4;0;B;;4
Alle dagen feest : godsdiensten van de wereld;De Sterck, Marita;JIL;Jeugd info: geloven - denken;;DEGOD;0.00;;;;PI0107166;6536571;N;B5;0;A;;5
Alle dagen hartstikke druk;Mous, Mirjam;JFA;Jeugd fictie 7-8 jaar geel;MOUS;;10.99;;;;NA0540757;2925868;N;B4;0;B;;4
Alle dieren levend en vrij;Jongman, Mariken;JFB;Jeugd fictie 9-11 jaar rood;JONG;;13.95;;;;NA0929115;5155992;N;B4;0;B;;4
Alle eendjes;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;5.95;    ;;;NA0816302;4616212;N;S4;0;U;;4
Alle eendjes;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;5.95;    ;;;NA0845302;4616211;N;S4;0;U;;4
Alle eendjes : liedjesgroeiboek voor kleuters;Debaene, An;JIO;Jeugd info: vrije tijd - kunst;;VRLIE;19.95;;;;PI051473X;3697593;N;B5;0;B;;4
Alle feiten (en geruchten) over draken;Kucharska, Nikola;JIP;Jeugd info: taal;;TASPR;15.95;;;;3,00E+13;25671641;N;B5;0;B;;5
Alle gassen los;George, Nina;JFA;Jeugd fictie 7-8 jaar geel;;;14.99;;;GEOR;3,00E+13;31707389;N;B4;0;U;;4
Alle hens aan dek;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;FC De Kampioenen;;4.50;    ;;;3,00E+13;21623758;N;S4;0;U;;4
Alle hens aan dek;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;FC De Kampioenen;;4.50;    ;;;NA0596205;3307361;N;S4;0;U;;4
Alle hens aan dek;Mark, Ian;JFB;Jeugd fictie 9-11 jaar;;;19.99;;;MARK;3,00E+13;29005644;N;B4;0;B;;4
Alle hens aan dek;Mark, Ian;JFB;Jeugd fictie 9-11 jaar rood;;;19.99;;;MARK;3,00E+13;29037645;N;B4;0;B;;4
Alle honds aan dek;Pilkey, Dav;SJK;Strips jeugd klein formaat;Dog man;;15.99;    ;;;3,00E+13;29312126;N;S4;0;B;;4
Alle katten hebben Asperger;Hoopmann, Kathy;JIM;Jeugd info: mens;;MEGEV;0.00;    ;;;PI0777498;5314771;N;B5;0;B;;5
Alle kinderen : een abc van gemene versjes;Kuhl, Anke;JP0;Jeugd poëzie;KUHL;;14.99;;;;NA1085158;5776620;N;B4;0;B;;4
Alle sterren;Meyer, Marissa;YF0;Adolescenten;MEYE;;19.50;;;;PI0791024;5940688;N;BA;0;B;;4
Alle sterren;Meyer, Marissa;YF0;Jongeren fictie grijs;MEYE;;19.50;;;;NA1154605;5940685;N;BA;0;B;;4
Alle vertellingen;Shakespeare, William;JFC;Jeugd fictie 12-14 jaar;SHAK;;0.00;;;;PI026749X;6674688;N;B4;0;B;;4
Alle weetjes over MrBeast : het ultieme onofficiële MrBeast fanbo;Saunders, Catherine;JIF;Jeugd info: wetenschappen;9+- rood;WTINT;12.99;    ;;;3,00E+13;31255112;N;B5;0;U;;5
Alleen;Våhlund, Elias;JFA;Jeugd fictie 7-8 jaar geel;;;12.50;;;VÅHL;3,00E+13;24136959;N;B4;0;B;;4
Alleen in het donker;Descamps, Luc;JFB;Jeugd fictie 9-11 jaar;DESC;;0.00;;;;PI0443174;3342753;N;B4;0;B;;4
Alleen losers spelen vals!;Stilton, Geronimo;JFA;Jeugd fictie 7-8 jaar geel;;;12.99;;AVV;STIL;3,00E+13;21590741;N;B4;0;U;;4
Alleen losers spelen vals!;Stilton, Geronimo;JFB;Jeugd fictie 9-11 jaar;;;12.99;;;STIL;3,00E+13;17804038;N;B4;0;B;;4
Alleen meisjes kunnen vliegen;Hanegreefs, Luc;JFC;Jeugd fictie 12-14 jaar;;;16.95;;;HANE;3,00E+13;24249330;N;B4;0;U;;4
Alleen meisjes kunnen vliegen;Hanegreefs, Luc;JFC;Jeugd fictie 12-14 jaar blauw;;;16.95;;;HANE;3,00E+13;24388708;N;B4;0;B;;4
Alleen op de speelplaats;Ana (stripauteur);SJB;Strips jeugd 9-11 jaar;Alleen op de speelplaats;;6.95;    ;;;NA1106651;6194163;N;S4;0;B;;4
Alleen op de speelplaats;Ana (stripauteur);SJB;Strips jeugd 9-11 jaar;Alleen op de speelplaats;;6.95;    ;;;NA110666X;6194164;N;S4;0;U;;4
Alleen op de wereld;Malot, Hector;JFC;Jeugd fictie 12-14 jaar;MALO;;24.95;;;;PI0749834;5785607;N;B4;0;B;;4
Alleen op de wereld;Rogaar, Margien;FSJ;Speelfilms jeugd;ALLE;;26.95;;;;3,00E+13;5875271;N;D4;0;B;;4
Alleen verder;Brooke, Lauren;JMB;Jeugd makkelijk lezen 9-11 j;BROO;;12.50;    ;;;NA1025759;5392872;N;B4;0;B;;4
Allegiant;Schwentke, Robert;FSJ;Speelfilms jeugd;;;17.97;;;ALLE;3,00E+13;17178006;N;D4;12;B;;4
Allemaal apen;Davey, Owen;JIH;Jeugd info: natuur;9+ - rood;NAZOO;14.99;;;;NA0929204;5492377;N;B5;0;B;;5
Allemaal cinema!;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;FC De Kampioenen;;5.95;    ;;;NA1048163;6033860;N;S4;0;U;;4
Allemaal cinema!;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;FC De Kampioenen;;5.95;    ;;;NA1048171;6033861;N;S4;0;U;;4
Allemaal leuke landen;Mack;JIJ;Jeugd info: landen;;LAATL;19.95;;;;PI067320X;5139072;N;B5;0;B;;4
Allemaal onderweg;Knowles, Laura;JIH;Jeugd info: natuur;6+ - geel;NAGED;14.99;;;;NA1101528;6135503;N;B5;0;B;;5
Allemaal onzin;Van Loon, Paul;JFA;Jeugd fictie 7-8 jaar geel;VANL;;14.95;;;;NA0707333;4016376;N;B4;0;B;;4
Allemaal vriendjes : grappige, bijzondere en zielige versjes over;Busser, Marianne;JP0;Jeugd poëzie;BUSS;;4.99;;;;NA1109286;6182401;N;B4;0;U;;4
Allemaal wilde dieren;Mack;JIH;Jeugd info: natuur;6+ - geel;NADIE;19.95;;;;NA0907839;5038782;N;B5;0;B;;4
Allemaal willen we de hemel;Beerten, Els;YF0;Adolescenten;BEER;;0.00;;;;PI0473359;3580129;N;BA;0;B;;4
Allemaal willen we de hemel;Beerten, Els;YF0;Jongeren fictie grijs;BEER;;17.95;;;;NA0643785;3580124;N;BA;0;B;;4
Allergieën;Parker, Steve;JIM;Jeugd info: mens;;MEZIE;0.00;;;;NA0594881;3298669;N;B5;0;A;;5
Allergieën;Parker, Steve;JIM;Jeugd info: mens;;MEZIE;0.00;;;;PI0435937;3298671;N;B5;0;B;;5
Allerlei dranken;Martineau, Susan;JIN;Jeugd info: dagelijks leven;;DAVOE;12.00;    ;;;NA0681059;4621581;N;B5;0;B;;5
Alles = wiskunde : wat je met getallen, vormen en logica kunt doe;Davies, Ben Ffrancon;JIF;Jeugd info: wetenschappen;;WTWIS;0.00;;;;3,00E+13;31399122;N;B5;0;B;;5
Alles = wiskunde : wat je met getallen, vormen en logica kunt doe;Davies, Ben Ffrancon;JIF;Jeugd info: wetenschappen;9+ - rood;WTWIS;16.99;    ;;;3,00E+13;14122182;N;B5;0;B;;5
Alles begon;Boets, Jonas;JFA;Jeugd fictie 7-8 jaar geel;BOET;;14.95;;;;NA1144286;5971285;N;B4;0;B;;4
Alles is chill;Jensen, Stine;JIM;Jeugd info: mens;9+ - rood;MEGEV;19.99;    ;;;3,00E+13;17728756;N;B5;0;B;;5
Alles is dromen, dromen is alles;Jensen, Stine;JIL;Jeugd info: geloven - denken;;DEGEL;19.99;;;;3,00E+13;27960352;N;B5;0;B;;5
Alles is dromen, dromen is alles;Jensen, Stine;JIL;Jeugd info: geloven - denken;9+ - rood;DEGEL;19.99;;;;3,00E+13;28024210;N;B5;0;B;;5
Alles is familie;Jensen, Stine;JIN;Jeugd info: dagelijks leven;;DAGEZ;21.99;;;;3,00E+13;31737047;N;B5;0;B;;5
Alles is kunst : 48 fantastische kunstprojecten;Brooks, Susie;JIO;Jeugd info: vrije tijd - kunst;;VRKUN;0.00;    ;;;3,00E+13;7317546;N;B5;0;B;;5
Alles is nu;Giles, Amy;YF0;Jongeren fictie grijs;;;18.00;;;GILE;3,00E+13;7641632;N;B4;0;B;;4
Alles kids;Achdé;SJB;Strips jeugd 9-11 jaar;Lucky Luke;;7.50;    ;;;3,00E+13;7697004;N;S4;0;B;;4
Alles kids! : verhalen om verder te vertellen;Verbeke, Kristel;JFA;Jeugd fictie 7-8 jaar geel;VERB;;19.99;;;;NA1111353;6228498;N;B4;0;B;;4
Alles kitsch;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;0.00;    ;;;NA0815411;4662252;N;S4;0;U;;4
Alles kitsch;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;3.60;    ;;;NA0845485;4010273;N;S4;0;B;;4
Alles kitsch;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;4.99;    ;;;NA0743976;4010275;N;S4;0;U;;4
Alles kitsch;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;6.99;    ;;;3,00E+13;14629101;N;S4;0;U;;4
Alles komt goed, altijd;Vereecken, Kathleen;JFB;Jeugd fictie 9-11 jaar;;;18.99;;;VERE;3,00E+13;26960344;N;B4;0;B;;4
Alles komt goed, altijd;Vereecken, Kathleen;JFB;Jeugd fictie 9-11 jaar rood;VERE;;18.99;    ;;;NA1122169;6196743;N;B4;0;B;;4
Alles komt tot leven;Do, Anh;JFA;Jeugd fictie 7-8 jaar geel;;;13.99;;;DO;3,00E+13;28603241;N;B4;0;U;;4
Alles loopt in het honderd;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;FC De Kampioenen;;6.50;    ;;;NA1106546;6198342;N;S4;0;U;;4
Alles loopt in het honderd;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;FC De Kampioenen;;6.50;    ;;;NA1106554;6198343;N;S4;0;U;;4
Alles mag zijn;;JFA;Jeugd fictie 7-8 jaar geel;ALLE;;11.50;;;;NA0392448;2860172;N;B4;0;B;;4
Alles of niets;Duchateau, André-Paul;SJC;Strips jeugd 12-14 jaar;Bruce J. Hawker;;3.10;    ;;;NA0400874;6446936;N;S4;0;B;;4
Alles ok (soort van);Pichon, Liz;JFB;Jeugd fictie 9-11 jaar;;;15.99;;;PICH;3,00E+13;28939110;N;B4;0;B;;4
Alles op zijn plaats;Cali, Davide;SJB;Strips jeugd 9-11 jaar;Ravencroft;;8.95;    ;;;3,00E+13;14072772;N;S4;0;B;;4
Alles over Anne : het levensverhaal van Anne, met antwoorden op v;Metselaar, Menno;JIE;Jeugd info: weetjes;9+ - rood;WEBER;15.99;    ;;;3,00E+13;17175349;N;B5;0;B;;5
Alles over Anne : het levensverhaal van Anne, met antwoorden op v;Metselaar, Menno;JIK;Jeugd info: geschiedenis;;GEWER;14.95;;;;PI0776211;5867073;N;B5;0;B;;5
Alles over betoveringen & drankjes;Milton, Stephanie;JIO;Jeugd info: vrije tijd - kunst;9+ - rood;VRCSP;11.99;    ;;;NA1051466;6099310;N;B5;0;U;;5
Alles over boerderijen;Wiltshire, Alex;JIO;Jeugd info: vrije tijd - kunst;;VRCSP;12.99;;;;NA1110187;6228957;N;B5;0;U;;5
Alles over de Olympische Winterspelen;Hunter, Nick;JIO;Jeugd info: vrije tijd - kunst;;VRWIN;11.00;;;;PI0653039;5044930;N;B5;0;B;;5
Alles over de ruimte;Meierjürgen, Sonja;JII;Jeugd info: aarde - heelal;6+ - geel;AASTE;10.99;;;;3,00E+13;29331438;N;B5;0;U;;5
Alles over dolfijnen;Meierjürgen, Sonja;JIH;Jeugd info: natuur;6+ - geel;NAZEZ;11.99;;;;3,00E+13;29961153;N;B5;0;B;;5
Alles over emoties;Brooks, Felicity;JIM;Jeugd info: mens;;MEGEV;12.99;    ;;;3,00E+13;7123742;N;B5;0;U;;5
Alles over je lichaam;Meierjürgen, Sonja;JIM;Jeugd info: mens;6+ - geel;MELAM;11.99;;;;3,00E+13;31028304;N;B5;0;B;;5
Alles over je verjaardag;Saunders, Claire;JIO;Jeugd info: vrije tijd - kunst;9+ - rood;VRFEE;21.99;;;;3,00E+13;28906862;N;B5;0;B;;4
Alles over jou en je lichaam;Brooks, Felicity;JIM;Jeugd info: mens;6+ - geel;MELAM;12.95;;;;3,00E+13;30143878;N;B5;0;B;;5
Alles over jouw lichaam;Oud, Pauline;JIM;Jeugd info: mens;;MELAM;15.95;    ;;;PI0832642;6206407;N;B4;0;B;;4
Alles over katten;Meierjürgen, Sonja;JIH;Jeugd info: natuur;6+ - geel;NAKAT;10.99;;;;3,00E+13;29331428;N;B5;0;B;;5
