titel;auteur;Plaatsing;Plaatsing omschrijving;Pl.Opmerking;Zizo Jeugd;Prijs;Jaargang;Genre Jeugd;Hoofdwoord;isbn;Exem-id;Magazijn;Materiaal;Min. leeftijd;Status;Bijlage;Categorie
100% Bo;Smit, Niki;JFC;Jeugd fictie 12-14 jaar;SMIT;;12.50;;;;PI0557218;3726771;N;B4;0;B;;4
100% Bo;Smit, Niki;JFC;Jeugd fictie 12-14 jaar blauw;SMIT;;12.99;;;;NA0907065;5192431;N;B4;0;B;;4
100% Coco : dagboek van een modeblogger;Smit, Niki;JFC;Jeugd fictie 12-14 jaar;SMIT;;12.99;;;;PI0672432;5018015;N;B4;0;B;;4
100% Fee;Smit, Niki;JFC;Jeugd fictie 12-14 jaar;SMIT;;12.50;;;;PI0558710;4356266;N;B4;0;U;;4
100% Fee;Smit, Niki;JFC;Jeugd fictie 12-14 jaar blauw;SMIT;;12.95;;;;NA082559X;4819699;N;B4;0;B;;4
100% Julia;Smit, Niki;JFC;Jeugd fictie 12-14 jaar;SMIT;;13.95;;;;PI0644706;4681745;N;B4;0;U;;4
100% Julia;Smit, Niki;JFC;Jeugd fictie 12-14 jaar blauw;SMIT;;12.95;;;;NA0825581;4681743;N;B4;0;B;;4
100% Lola;Smit, Niki;JFC;Jeugd fictie 12-14 jaar;SMIT;;12.50;;;;PI056107X;3275966;N;B4;0;B;;4
100% Lola;Smit, Niki;JFC;Jeugd fictie 12-14 jaar blauw;SMIT;;12.99;;;;NA0907057;5192433;N;B4;0;B;;4
100% Mila;Smit, Niki;JFC;Jeugd fictie 12-14 jaar;SMIT;;13.95;;;;PI0544817;4356245;N;B4;0;B;;4
100% Mila;Smit, Niki;JFC;Jeugd fictie 12-14 jaar blauw;SMIT;;12.95;;;;NA0825573;4656857;N;B4;0;B;N;4
100% Mila & 100% love;Smit, Niki;JFC;Jeugd fictie 12-14 jaar blauw;SMIT;;0.00;;;;NA1096540;6178185;N;B4;0;B;;4
100% paardengek;Christiaanse, Nicolle;JFB;Jeugd fictie 9-11 jaar rood;CHRI;;14.99;;;;NA1166905;6148799;N;B4;0;B;;4
100% Timboektoe;Slee, Carry;JFC;Jeugd fictie 12-14 jaar;SLEE;;0.00;;;;PI0373869;4066739;N;B4;0;B;;4
100% Timboektoe;Slee, Carry;JFC;Jeugd fictie 12-14 jaar blauw;SLEE;;13.50;;;;NA0605719;4066738;N;B4;0;B;;4
100% wolf;Stadermann, Alexs;FSJ;Speelfilms jeugd;;;11.31;    ;;WOLF;3,00E+13;26779334;N;D4;0;B;;4
1000 dingen om te maken en te doen;Watt, Fiona;JIO;Jeugd info: vrije tijd - kunst;;VRKNU;19.99;    ;;;PI0710806;5150754;N;B5;0;B;;5
1000 woorden Nederlands-Engels : leer alledaagse woorden in twee ;Peskin, Svetlana;JIP;Jeugd info: taal;;TAENG;12.50;;;;NA1174053;6356991;N;B5;0;B;;5
101 dalmatiërs;Disney, Walt;SJA;Strips jeugd 6-8 jaar;Disney;;0.00;    ;;;NA0151033;2760743;N;S4;0;B;;4
